edad,educ,wage
54,14,2262.1145911338813
25,6,1782.9954760414726
53,11,3105.0037642654534
70,8,2062.599636041901
24,5,1678.3023907008474
18,6,1867.1863108135362
73,1,3156.6331379740973
64,12,2583.212233261861
66,12,1123.725438060777
36,6,3292.0716388177298
48,7,3330.220251788325
54,7,2500.342786131094
72,11,2065.1155589645196
70,9,2497.664608646519
62,7,2356.601180429033
79,12,1627.7990954632405
48,8,3077.9340678992703
43,9,2101.1797353652546
20,11,2836.3201462303355
43,3,2947.204583740871
54,1,1846.4474354347149
63,8,2388.3227925782667
31,3,2271.483757680741
52,10,2226.8742107572416
28,4,3348.959271252952
78,12,1210.7657682494887
52,0,3418.4237000692337
79,4,2650.82555926762
66,1,2818.953308762476
20,14,2917.4365397449346
40,2,2241.6258984212927
30,9,3080.0126590106506
57,5,1887.263910371527
74,1,2642.7337092279095
71,14,1851.9632148122091
56,6,2526.2798513029006
28,9,3826.1466576904877
79,4,1931.4683072198457
29,14,3070.2896173757144
65,9,2216.189036970814
32,2,2530.813259104868
54,1,3056.366118910262
49,14,1268.6003128966622
47,0,1415.3345524069623
28,2,1135.0629676278654
57,6,2571.118840351842
79,7,1594.0159445817067
68,4,2477.320329008384
67,4,2942.048286943323
41,13,3756.415205259945
47,6,2227.3026021824858
50,4,3169.2150294507273
59,13,2648.8425965364418
51,1,3091.1826989164315
43,11,2529.915682120603
26,12,2535.579950465392
27,0,2754.839849797184
20,12,2376.843565945708
69,6,1672.641610331257
47,13,2133.9704856936796
59,11,2014.5693243310238
38,7,2022.3045155779332
27,11,2372.1140094246407
79,3,2522.679979432692
69,2,2620.365604589678
24,0,2228.3847782403495
37,0,2416.0503544027747
49,2,3055.2468602302815
70,9,3058.85047162189
79,10,2735.228592366205
68,11,2185.574969374088
78,1,2977.6225261525487
31,3,2260.0650391093222
69,11,1457.4233932673842
50,6,2781.381029165076
57,6,1939.370128530723
58,13,2173.0706223018747
33,9,3000.5866930460625
65,9,2356.9867696862234
50,12,3303.239151004113
42,2,1397.6005588338812
21,3,1642.684510372593
26,2,2947.7124657934664
76,5,2248.937477201489
71,1,3137.263134249507
26,4,3246.8595543267443
42,2,2085.711918767046
38,5,2241.73542625576
48,13,2211.8019526215044
23,5,2570.2314540639704
78,14,3209.3380391301707
44,5,1591.4214515784736
32,13,2145.733987860782
68,8,2636.587553678297
41,10,2675.1892365742415
